"","actors_who_need_to_take_action","agents_of_change","call_to_action","cc_id","created_at","created_by","duration_of_problem","escalate_problem_to_govt_officials","flagged_issue","government_program_details","id","impact_achieved_description","impact_affected_community_member_support","impact_called_govt_official","impact_cc_verification_call","impact_community_meetings_attendance_number","impact_community_meetings_done","impact_community_meetings_number","impact_contact_lawyer","impact_contact_news_media","impact_contact_politician","impact_contact_vv_staff","impact_corroboration_call","impact_corroboration_details","impact_date","impact_govt_application_filing","impact_govt_official_no_of_calls","impact_govt_official_no_of_visits","impact_govt_official_support","impact_govt_official_support_details","impact_govt_official_visit","impact_in_process","impact_needs_office_intervention","impact_other_community_member_support","impact_other_community_member_support_details","impact_plan","impact_possible","impact_problem_reporting","impact_public_grievance_mechanism_use","impact_publicize_on_social_media","impact_raised_awareness","impact_rti_application_filing","impact_steps_followed_at_local_level","impact_uid","impact_youtube_publish_date","impact_youtube_url","is_impact","issue","issue_2","issue_footage_received_from_cc_date","level_of_spread","mentor","ngo_collaboration","no_of_individuals_affected","people_impacted","people_involved","primary_affected_groups","problem_identification_by_cc","screened_to","screened_to_total_number","screening_done","screening_shared_to","screening_shared_to_total_number","screening_shared_to_total_private_sharing","screening_sharing","social_movement_work","story_pitch_date","target_official","themes","topic_identification_reason","uid","underlying_reason_of_issue","updated_at","village_name","villages_impacted","youtube_publish_date","youtube_url"
"1463",NA,NA,"no",88,NA,NA,NA,NA,NA,NA,478,"in gumla district, tati village electricty transformer hasnt been working from 8 months caused 700 villagers have no access to electricity. villagesr tried to solve the issue by meeting politicians, sdo but no use. (officers said their named wasnt listed , u dont even have your bills).villagers even met dbc ( peopel who take tenders from elec dept for transformers). after video was made & screened to je, he inspected village & issued a order to replace transformer. to avoid delay villagers themselves took tarnsformer to gumla( city) & got it repaired & fixed . electricity works now.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-01,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_637_impact",2015-06-11,"https://youtu.be/xl44nxo9rh8",TRUE,"power & energy","corruption",NA,NA,"guruprasad pednekar",NA,NA,700,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-02,NA,NA,NA,"jh_637",NA,2016-11-18 17:14:10,NA,1,2015-05-18,"https://www.youtube.com/watch?v=pc8su6hubqc"
"1464",NA,NA,"no",88,NA,NA,NA,NA,NA,NA,480,"after making video shanti went to the franchisee office but they did not receive connection form and demanded 1400 rs for new connection. after that when speaker of jharkhand assembly dinesh oraon visited the area cc asked him for free connection enrollment camp in that area. it did not succed even after speaker's assurances. after that cc remained in direct communication with sdo electricy and je, gumla for electricity related other issues in her area. after much effort on 10th feb 2018, a free connection camp was organised and 75 families were given new connection for free. now villagers can use electricity at their homes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-02-10,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_638_impact",2018-11-20,"https://youtu.be/2il1eu27dtu",TRUE,"power & energy","corruption",NA,NA,"guruprasad pednekar",NA,NA,75,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-01,NA,NA,NA,"jh_638",NA,2018-11-20 10:21:46,NA,3,2015-05-18,"https://www.youtube.com/watch?v=k0udrnhxbiw"
"1465",NA,NA,"no",101,NA,NA,NA,NA,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"power & energy","corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-09-15,NA,NA,NA,"jh_597",NA,2016-10-12 16:07:50,NA,NA,2015-04-23,"https://www.youtube.com/watch?v=uehyfpskikg"
"1466",NA,NA,"no",66,NA,NA,NA,NA,NA,NA,372,"jharkhand renebul urja vikas abhkaran of jilla gramin vikas abhikaran gave solar light and solar street light and solar lantern. 20 grams were given money for this, but they did not get it. amita had a meeting with mundari khunkati parishad and also screened her video. we also wrote and submitted log applications. khuntkati mundari parishad's members ke saath official ko video screen kiya gaya. adhikari ne kaha ki yojna ki rad hone ke face se ye tender nahi ho paya. and the money given to the villagers was refunded to them.--------------------------sameer:english+++---------20 villagers of mundari khunkati had filled up forms and submitted cash for availing solar lamps under jharkhand renewable energy development project. many days passed after submitting the application but they didn't receive any solar lamps. cc filmed a video on this issue. cc also held a community meeting with mundari khunkati council and screened the issue video to the villagers. villagers wrote a fresh application and submitted to officials at district. the video was also screened to the officials and the matter was discussed with them. officaisl told that since this was scrapped by government funds for solar lamps didn't arrive since they didn't receive any lamps. the officials however refunded the amount paid earlier to all the 20 villagers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-08-13,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screening is done by going to khunti dc.","yes",NA,NA,NA,NA,NA,NA,"jh_508_impact",2016-03-08,"https://youtu.be/zv0m1x99y9w",TRUE,"power & energy","corruption",NA,NA,NA,NA,NA,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-01,"khunti-dc",NA,NA,"jh_508",NA,2016-10-12 16:07:50,NA,1,2015-04-21,"https://www.youtube.com/watch?v=lrpzs0k5mb8"
"1467",NA,NA,"no",104,NA,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"power & energy","corruption",NA,NA,"graduate cc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-01,NA,NA,NA,"jh_682",NA,2016-11-18 17:16:06,NA,NA,2015-05-18,"https://www.youtube.com/watch?v=0j_ipmsz7uq"
"1468",NA,NA,"no",103,NA,NA,NA,NA,NA,NA,404,"impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-03-01,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_737_impact",2015-09-17,"https://youtu.be/qv5kxb5k4e8",TRUE,"power & energy","corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-02,NA,NA,NA,"jh_550",NA,2016-12-19 05:58:04,NA,NA,2015-01-28,"https://www.youtube.com/watch?v=67svo3sppbk"
"1469",NA,NA,"no",83,NA,NA,NA,NA,NA,NA,503,"janani shishu suraksha karyakram is one of the most important schemes of indian government whose purpose is to provide facilities to pregnant women and infants free of cost. also pregnant women should be given rs. 1400 and sahya rs. 350 as incentives but villagers of baghmara block, dhanbad district (jharkhand) were not provided any such incentives from primary health centre. as a result they were not able to give proper health care to their children.  community correspondent halima ejaj got to know about the issue, she documented it and screened it to the sarpanch and mahila adhyaksha. after seven months all pending incentives were paid off to the women. - by sandhya marwada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-03-10,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_774_impact",2016-07-13,"https://youtu.be/_4gtqn1_oz4",TRUE,"reproductive rights","corruption",NA,NA,"guruprasad pednekar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-30,NA,NA,NA,"jh_665",NA,2016-12-19 05:58:04,NA,NA,2015-05-18,"https://www.youtube.com/watch?v=x8o_uahzmhy"
"1470",NA,NA,"no",83,NA,NA,NA,NA,NA,NA,536,"in year 2015, 40 new born girl child in mahuda village ( baghmara block, dhanbad district) jharkhand weren�t able to get benefit from ladli laxmi yojana because of not having a birth certificate. since last one year primary health centre of mahuda & sub-health centre of radhanagar were not issuing birth certificate to them. villagers gave written application to collector office twice but no action was taken regarding this issue. community correspondent halima ejaz, whose family was also affected of this issue, made a video about it and showed to the block medical officer in charge dr. s.m. jafrulla and he took immediate action to resolve it. in a month of complaint all the birth certificates were started issuing in primary health centre, mahuda. - by sandhya marwada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-03-02,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_773_impact",2015-09-17,"https://youtu.be/0rnyakdyzqy",TRUE,"reproductive rights","corruption",NA,NA,"guruprasad pednekar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,NA,NA,NA,"jh_706",NA,2016-12-19 05:58:04,NA,NA,2015-06-08,"https://www.youtube.com/watch?v=13ji3f-yxfo&feature=youtu.be"
"1471",NA,NA,"no",88,NA,NA,NA,NA,NA,NA,460,"in jamdih village of rampur block, the anm (auxillary nurse midwife) had not opened the health centre in the last one year. as a result around 500 people, including women and children, faced health problems. the villagers confronted the anm about this but to no avail. cc shanti baraik came to know about this problem and made a video. the anm got scared of being exposed and started opening the centre regularly. she requested the cc not to show the video to her higher officer. people, who had to earlier resort to quacks for treatment, are now getting regular health services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-16,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_1108_impact",2015-09-17,"https://youtu.be/xuyqr99tiui",TRUE,"reproductive rights","corruption",NA,NA,"guruprasad pednekar",NA,NA,500,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-17,NA,NA,NA,"jh_618",NA,2016-11-18 17:12:20,NA,4,2015-02-17,"https://www.youtube.com/watch?v=luxsrfyencg"
"1472",NA,NA,"no",97,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"reproductive rights","corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-01,NA,NA,NA,"jh_673",NA,2016-11-18 17:16:06,NA,NA,2015-05-18,"https://www.youtube.com/watch?v=i_827qqmrui&feature=youtu.be"
"1473",NA,NA,"no",104,NA,NA,NA,NA,NA,NA,421,"pooja : the government appoints auxilliary nurse midwives so they provide assistance to pregnant women who are not so financially sound free of cost. such was not the case in baraghutu village where an anm charged rs 300/- from the sister in-law of a 30-year old woman, who had delivered a healthy baby boy in sadar hospital. shikha kumari lives in sahibganj, and she made a video on the issue when she got to know about the incident from her sister.  while making the video, she got to meet with ravi kumar, who worked at nakshatra channel and told him about the problem. he came to interview the hospital in charge, who in turn called the anm. the issue was resolved instantly, when the video was not complete, and there was no need to screen the video to any of the higher authorities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-05-13,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_567_impact",NA,NA,TRUE,"reproductive rights","corruption",NA,NA,"graduate cc",NA,NA,200,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-01,NA,NA,NA,"jh_567",NA,2016-10-12 16:07:50,NA,1,2015-05-18,"https://www.youtube.com/watch?v=b2mshicdsxc"
"1474",NA,NA,"no",76,NA,NA,NA,NA,NA,NA,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sanitation","corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-01,NA,NA,NA,"jh_611",NA,2018-06-06 23:45:09,NA,NA,2015-05-20,"https://www.youtube.com/watch?v=sosyvjlnu0o"
"1475",NA,NA,"no",100,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sanitation","corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-09-15,NA,NA,NA,"jh_167",NA,2016-10-12 16:09:04,NA,NA,2015-05-18,"https://www.youtube.com/watch?v=rxnbl3ptho0"
"1476",NA,NA,"no",88,NA,NA,NA,NA,NA,NA,172,"labor contractor had trafficket 12 men, 2 women and 4 children from jharkhand and 'sold' them to a contractor in goa. the workers were mistreated and paid only 200 rupees a week (whereas the daily rate in goa is about twice that for a day). the contractor had taken away their phones, id cards and put them all in a small house where they couldnt connect with anyone else. one of the workers somehow managed to get the word out to his wife in jhakhand and the wife happened to be cc shanti bariak's neighbor. shanti travelled with the wives of the workers from jharkhand to goa and managed to locate them all. the contractor was defiant and violent. he slapped and punched the workers as shanti was arguing with him to release them. advocacy managers in vv's goa office spoke with the police officials asking them to intervene but they were of no help. shanti and the vv staff spent a whole day in margaon police station but no action was forth coming. i think the police was involved. the contractor must have paid them beforehand. because they didnt do anything after talking to us. we just kept waiting"", says shanti. later, with the help of a local social activist joseph vass, the vv team and the cc approached the district superindent of police and all the workers were released after about 20 hours of drama. shanti was filming most of this rescue operation and once the film was done she arranged for community screenings of it. in one place there were more than 500 people in the audience. they all thanked me so much and i felt great because i could be of help to these people"", says shanti.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trafficking & migration","corruption",NA,NA,"guruprasad pednekar",NA,NA,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-02,NA,NA,NA,"jh_240",NA,2017-06-23 11:48:16,NA,8,2014-02-28,"https://www.youtube.com/watch?v=j2mr57bzwmg"
"1477",NA,NA,"no",88,NA,NA,NA,NA,NA,NA,481,"pradeep bhengra of kunhari village, basiya block (jharkhand) went to bangalore on 28/10/�14 to work in a particular factory but he was missing from there. due to that his family members were very worried. he told his mother that he was going for a month there and would return soon but he didn�t went bangalore. when his family asked to his friends who went along with him, they replied that pradeep was not with them. then, they went to police station to report fir but the police didn�t help them. community correspondent shanti baraik, who is a resident of the same village made a video about the issue and went to meet the sp (superintendent of police) of district and told him about the issue. as a result of that after a month of filing a report, police found pradeep in odisha and brought him back to the village.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"jh_712_impact",2015-05-18,"https://www.youtube.com/watch?v=kybe3x2rckm",TRUE,"trafficking & migration","corruption",NA,NA,"guruprasad pednekar",NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-01,NA,NA,NA,"jh_639",NA,2017-06-23 21:43:05,NA,1,2015-05-18,"https://www.youtube.com/watch?v=wfvw3eltk0q"
"1478",NA,NA,"yes",88,NA,NA,NA,NA,NA,NA,539,"shanti wrote the application in the name of pey jal vibhag. department sent the mechanic and the hand pumps were repaired. the repairing was done in the month of may 2015..  rampur revatoli village, there was no access to water for almost three years and the villagers had to go several kilometers to fetch the water and the hand pump was broken too.the villagers had made a written request and have given it to the cc. the cc has taken the request to the engineer. after the complaint was given, it took about 3-4 days for the pump to start working and te villagers had access to water. the video was made by the cc and screened to the water dpt authorities and and the samudaya(villagers). the repairing was done in the month of may 2015..  rampur revatoli village, there was no access to water for almost three years and the villagers had to go several kilometers to fetch the water and the hand pump was broken too.the villagers had made a written request and have given it to the cc. the cc has taken the request to the engineer. after the complaint was given, it took about 3-4 days for the pump to start working and te villagers had access to water. the video was made by the cc and screened to the water dpt authorities and and the samudaya(villagers). the repairing was done in the month of may 2015.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-05-10,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"samuday ke saath awaden tayar ker ke separation me de na th.","yes",NA,NA,NA,NA,NA,NA,"jh_1106_impact",2015-12-15,"https://youtu.be/srbii66pg6a",TRUE,"water","corruption",NA,NA,"guruprasad pednekar",NA,NA,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,"pay jal and sacwata bivag karyapalak aviyanta, kamdara block",NA,NA,"jh_711",NA,2016-11-18 17:16:06,NA,1,2015-06-08,"https://www.youtube.com/watch?v=ikwlnzawg0q&feature=youtu.be"
"1479",NA,NA,"yes",111,NA,NA,NA,NA,NA,NA,534,"meeting was held in village. then community member told mukhiya to repair the handpump. mukhia contacted jalsahiya and the handpump was repaired. two times she visited mukiya of baromudi panchayat, laskar tudu.couple of times,he was informed.. the villagers had no access to water as the hand pump was not working. the cc made the video with the help of the women in the village and went to the mukhya a couple of times. a meeting was also held in the village and the video was screened. the villagers also went along and the village head has agreed to give three pipes but gave only two. the panchayat memebers have spent some money of their pwn but have approached the water board authorities and have requested for the pipes to be fixed.the pipes got fixed and the villagers now have drinking water. . the villagers had no access to water as the hand pump was not working. the cc made the video with the help of the women in the village and went to the mukhya a couple of times. a meeting was also held in the village and the video was screened. the villagers also went along and the village head has agreed to give three pipes but gave only two. the panchayat memebers have spent some money of their pwn but have approached the water board authorities and have requested for the pipes to be fixed.the pipes got fixed and the villagers now have drinking water.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-05-02,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"meet chief with jalsahiya.","yes",NA,NA,NA,NA,NA,NA,"jh_1048_impact",2015-11-15,"https://youtu.be/obj33myjjrw",TRUE,"water","corruption",NA,NA,NA,NA,NA,55,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,NA,NA,NA,"jh_704",NA,2016-11-18 17:42:59,NA,1,2015-05-01,"https://www.youtube.com/watch?v=cdxdtunmnky&feature=youtu.be"
"1480",NA,NA,"no",134,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"water","corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-01,NA,NA,NA,"jh_202",NA,2016-10-12 16:09:04,NA,NA,2015-05-18,"https://www.youtube.com/watch?v=wfkc0nbjemg"
"1481",NA,NA,"yes",76,2015-08-08 11:02:11,NA,NA,NA,NA,NA,4878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"don't give up on the company of the community.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"water","corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-07-09,"pay jal and sacwata bivag karyapalak avikanta-mr.manoj kumar lohra-9471718098",NA,NA,"jh_1103",NA,2016-10-12 16:09:04,NA,NA,2015-12-02,"https://youtu.be/xis_pfiiv3u"
"1482","panchayat official, department bureaucrat-block level","government official","no",80,2016-01-11 18:51:51,NA,"yrs or more","sign an application",NA,NA,6481,"mission dhavada majhi tola panchayat east sasbeda ward no. 7 block gomiya district bokaro jharkhand had a centuries old very dirty road full of mud which was not being constructed even after a lot of efforts by the villagers due to which there was a problem in commuting and commuting. goriti kuzur had made a video on this problem on may 2, 2016 at the behest of akash kumar, where 12 families were facing a lot of problems. after making the video, the ward contacted the ward, informed about any problem, showed the video and also informed the head of the video whatsapp about this problem. video whatsapp and met him many times and discussed about this problem by going to the block and contacting the block development officer to show him the video contacted the officer about this problem, show him the video, kept reminding him by calling whatsapp several times and once a month and there was a camp in the block, submitted applications along with the villagers, in this way on september 2022 under the road mukhyamantri gramin pati yojana, a 225-feet road costing rs 249,000 has been completed. now 500 to 1000 people passing through this road are getting a lot of relief. 12 families here are also very happy.","yes","yes","no",0,"no",0,"no","no","no","no","no","community member",2022-10-01,"no",30,20,"yes","panchayat officials, block development officer or other block officials","yes","no","no","no","others","video bana kar samuday ke beach screening karna or awaden bana kar bivag ke adhikari ko dena.","yes","yes","no","yes","screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action, visiting the relevant authorities","jh_1281_impact",2022-10-18,"https://youtu.be/e0cn_tyjuj8",TRUE,"crumbling infrastructure","crumbling infrastructure",NA,"village","graduate cc","no",500,1000,6,"no particular groups is affected -- the problem is cross-cutting","yes","community members",25,"yes","community members, panchayat official, bdo, news outlets or journalists",3,15,"yes","no",2015-12-21,"gomeia-bdo-smt.jaise bineta kerketta","material problem (e.g. delivery of a service, repair of infrastructure)",NA,"jh_1281","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-11-18 10:53:26,NA,8,2016-05-02,"https://youtu.be/gbiuqeqqe5m"
"1483","panchayat official, department bureaucrat-block level","government official","no",80,2016-01-11 18:51:51,NA,"yrs or more","visit a government office",NA,NA,6481,"mission dhavada majhi tola panchayat east sasbeda ward no. 7 block gomiya district bokaro jharkhand had a centuries old very dirty road full of mud which was not being constructed even after a lot of efforts by the villagers due to which there was a problem in commuting and commuting. goriti kuzur had made a video on this problem on may 2, 2016 at the behest of akash kumar, where 12 families were facing a lot of problems. after making the video, the ward contacted the ward, informed about any problem, showed the video and also informed the head of the video whatsapp about this problem. video whatsapp and met him many times and discussed about this problem by going to the block and contacting the block development officer to show him the video contacted the officer about this problem, show him the video, kept reminding him by calling whatsapp several times and once a month and there was a camp in the block, submitted applications along with the villagers, in this way on september 2022 under the road mukhyamantri gramin pati yojana, a 225-feet road costing rs 249,000 has been completed. now 500 to 1000 people passing through this road are getting a lot of relief. 12 families here are also very happy.","yes","yes","no",0,"no",0,"no","no","no","no","no","community member",2022-10-01,"no",30,20,"yes","panchayat officials, block development officer or other block officials","yes","no","no","no","others","video bana kar samuday ke beach screening karna or awaden bana kar bivag ke adhikari ko dena.","yes","yes","no","yes","screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action, visiting the relevant authorities","jh_1281_impact",2022-10-18,"https://youtu.be/e0cn_tyjuj8",TRUE,"crumbling infrastructure","crumbling infrastructure",NA,"village","graduate cc","no",500,1000,6,"no particular groups is affected -- the problem is cross-cutting","yes","community members",25,"yes","community members, panchayat official, bdo, news outlets or journalists",3,15,"yes","no",2015-12-21,"gomeia-bdo-smt.jaise bineta kerketta","material problem (e.g. delivery of a service, repair of infrastructure)",NA,"jh_1281","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-11-18 10:53:26,NA,8,2016-05-02,"https://youtu.be/gbiuqeqqe5m"
"1484",NA,NA,"yes",105,2017-03-21 08:54:22,NA,NA,NA,NA,NA,9742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"a","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,"shikha paharin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-20,"pay jal vibhag adhikari - doman raja",NA,NA,"jh_1780",NA,2022-11-18 10:53:26,NA,NA,2018-05-15,"https://youtu.be/mdjl9ww2mdq"
"1485",NA,NA,"no",108,2015-11-10 11:06:17,NA,NA,NA,NA,NA,5864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,"harihar nagbansi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-07,"district commissioner - goda dist - harshmangla",NA,NA,"jh_1239",NA,2022-11-18 10:53:26,NA,NA,2016-01-14,"https://youtu.be/uke1qdticq0"
"1486",NA,NA,"no",89,2015-10-19 08:10:09,NA,NA,NA,NA,NA,5606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-07,"genreal manager -ccl charhi",NA,NA,"jh_1186",NA,2022-11-18 10:53:26,NA,NA,2015-11-25,"https://youtu.be/7awwcalvlss"
"1487",NA,NA,"yes",65,2016-11-26 05:23:00,NA,NA,NA,NA,NA,8998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"i have to give in divorce without making a promise.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-11-26,"bdo -torpa block- prabhakar ojha",NA,NA,"jh_1691",NA,2022-11-18 10:53:26,NA,NA,2017-02-24,"https://youtu.be/5l_iuhpx21a"
"1488",NA,NA,"yes",91,2017-02-10 09:57:15,NA,NA,NA,NA,NA,9521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"don't make awaden and give it to the division.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-02-10,"kodarma dc - sanjeev kumar basra",NA,NA,"jh_1755",NA,2022-11-18 10:53:26,NA,NA,2017-03-27,"https://youtu.be/gfozcmpjsk0"
"1489",NA,NA,"yes",90,2016-02-28 06:56:11,NA,NA,NA,NA,NA,6869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-02-12,"bdo - koderma block",NA,NA,"jh_1332",NA,2022-11-18 10:53:26,NA,NA,2016-05-07,"https://youtu.be/2fmfevbzwzu"
"1490",NA,NA,"no",93,2016-03-13 04:20:49,NA,NA,NA,NA,NA,6990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","crumbling infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-13,NA,NA,NA,"jh_1371",NA,2022-11-18 10:53:26,NA,NA,2016-04-28,"https://youtu.be/1byxrt4ujfq"
